"[2023-09-23 14:10:08.947] 2060.16[rpm]	Before: 811749081[us]	After: 811807329[us]	Width: 58248[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811807972 [us]	IGN_OFF: 811808989 [us]	INJ_ON: 811835887 [us]	INJ_OFF: 811837046 [us]"
"[2023-09-23 14:10:09.006] 2074.47[rpm]	Before: 811807329[us]	After: 811865175[us]	Width: 57846[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811865824 [us]	IGN_OFF: 811866839 [us]	INJ_ON: 811893544 [us]	INJ_OFF: 811894700 [us]"
"[2023-09-23 14:10:09.063] 2087.14[rpm]	Before: 811865175[us]	After: 811922670[us]	Width: 57495[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811923315 [us]	IGN_OFF: 811924331 [us]	INJ_ON: 811950895 [us]	INJ_OFF: 811952050 [us]"
"[2023-09-23 14:10:09.120] 2102.39[rpm]	Before: 811922670[us]	After: 811979748[us]	Width: 57078[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 811980737 [us]	IGN_OFF: 811980525 [us]	INJ_ON: 812007588 [us]	INJ_OFF: 812008743 [us]"
"[2023-09-23 14:10:09.177] 2129.70[rpm]	Before: 811979748[us]	After: 812036094[us]	Width: 56346[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812036746 [us]	IGN_OFF: 812037761 [us]	INJ_ON: 812063631 [us]	INJ_OFF: 812064784 [us]"
"[2023-09-23 14:10:09.233] 2154.71[rpm]	Before: 812036094[us]	After: 812091786[us]	Width: 55692[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812092434 [us]	IGN_OFF: 812093450 [us]	INJ_ON: 812119080 [us]	INJ_OFF: 812120233 [us]"
"[2023-09-23 14:10:09.289] 2174.23[rpm]	Before: 812091786[us]	After: 812146978[us]	Width: 55192[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812147625 [us]	IGN_OFF: 812148640 [us]	INJ_ON: 812174033 [us]	INJ_OFF: 812175185 [us]"
"[2023-09-23 14:10:09.342] 2192.86[rpm]	Before: 812146978[us]	After: 812201701[us]	Width: 54723[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812202346 [us]	IGN_OFF: 812203362 [us]	INJ_ON: 812228416 [us]	INJ_OFF: 812229568 [us]"
"[2023-09-23 14:10:09.396] 2224.16[rpm]	Before: 812201701[us]	After: 812255654[us]	Width: 53953[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812256302 [us]	IGN_OFF: 812256001 [us]	INJ_ON: 812282011 [us]	INJ_OFF: 812283165 [us]"
"[2023-09-23 14:10:09.450] 2249.51[rpm]	Before: 812255654[us]	After: 812308999[us]	Width: 53345[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812309636 [us]	IGN_OFF: 812310651 [us]	INJ_ON: 812335156 [us]	INJ_OFF: 812336307 [us]"
"[2023-09-23 14:10:09.502] 2266.29[rpm]	Before: 812308999[us]	After: 812361949[us]	Width: 52950[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812362593 [us]	IGN_OFF: 812363608 [us]	INJ_ON: 812387943 [us]	INJ_OFF: 812389098 [us]"
"[2023-09-23 14:10:09.556] 2280.33[rpm]	Before: 812361949[us]	After: 812414573[us]	Width: 52624[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 812415220 [us]	IGN_OFF: 812416235 [us]	INJ_ON: 812440354 [us]	INJ_OFF: 812441506 [us]"
